0	0	Should	O-CLAIM
0	1	sharks	O-CLAIM
0	2	be	O-CLAIM
0	3	blamed	O-CLAIM
0	4	for	O-CLAIM
0	5	killing	O-CLAIM
0	6	and	O-CLAIM
0	7	injuring	O-CLAIM
0	8	people	O-CLAIM
0	9	?	O-CLAIM
1	0	Sometimes	O-CLAIM
1	1	a	O-CLAIM
1	2	shark	O-CLAIM
1	3	will	O-CLAIM
1	4	think	O-CLAIM
1	5	of	O-CLAIM
1	6	a	O-CLAIM
1	7	person	O-CLAIM
1	8	as	O-CLAIM
1	9	an	O-CLAIM
1	10	animal	O-CLAIM
1	11	such	O-CLAIM
1	12	as	O-CLAIM
1	13	a	O-CLAIM
1	14	seal	O-CLAIM
1	15	.	O-CLAIM
2	0	Sharks	O-CLAIM
2	1	have	O-CLAIM
2	2	been	O-CLAIM
2	3	titled	O-CLAIM
2	4	as	O-CLAIM
2	5	killers	O-CLAIM
2	6	.	O-CLAIM
3	0	Sharks	O-CLAIM
3	1	do	O-CLAIM
3	2	n't	O-CLAIM
3	3	like	O-CLAIM
3	4	eating	O-CLAIM
3	5	people	O-CLAIM
3	6	.	O-CLAIM
4	0	Because	O-CLAIM
4	1	there	O-CLAIM
4	2	are	O-CLAIM
4	3	parts	O-CLAIM
4	4	of	O-CLAIM
4	5	our	O-CLAIM
4	6	bodies	O-CLAIM
4	7	that	O-CLAIM
4	8	sharks	O-CLAIM
4	9	ca	O-CLAIM
4	10	n't	O-CLAIM
4	11	eat	O-CLAIM
4	12	or	O-CLAIM
4	13	digest	O-CLAIM
4	14	(	O-CLAIM
4	15	Handwerk	O-CLAIM
4	16	)	O-CLAIM
4	17	.	O-CLAIM
5	0	Fun	O-CLAIM
5	1	fact	O-CLAIM
5	2	,	O-CLAIM
5	3	sharks	O-CLAIM
5	4	do	O-CLAIM
5	5	not	O-CLAIM
5	6	fully	O-CLAIM
5	7	digest	O-CLAIM
5	8	the	O-CLAIM
5	9	bones	O-CLAIM
5	10	of	O-CLAIM
5	11	what	O-CLAIM
5	12	they	O-CLAIM
5	13	eat	O-CLAIM
5	14	.	O-CLAIM
6	0	Because	O-CLAIM
6	1	the	O-CLAIM
6	2	motion	O-CLAIM
6	3	of	O-CLAIM
6	4	a	O-CLAIM
6	5	human	O-CLAIM
6	6	body	O-CLAIM
6	7	swimming	O-CLAIM
6	8	in	O-CLAIM
6	9	the	O-CLAIM
6	10	water	O-CLAIM
6	11	looks	O-CLAIM
6	12	like	O-CLAIM
6	13	a	O-CLAIM
6	14	seal	O-CLAIM
6	15	.	O-CLAIM
7	0	The	O-CLAIM
7	1	history	O-CLAIM
7	2	of	O-CLAIM
7	3	sharks	O-CLAIM
7	4	attacking	O-CLAIM
7	5	people	O-CLAIM
7	6	is	O-CLAIM
7	7	slim	O-CLAIM
7	8	.	O-CLAIM
8	0	Also	O-CLAIM
8	1	,	O-CLAIM
8	2	a	O-CLAIM
8	3	shark	O-CLAIM
8	4	being	O-CLAIM
8	5	close	O-CLAIM
8	6	to	O-CLAIM
8	7	the	O-CLAIM
8	8	shallows	O-CLAIM
8	9	is	O-CLAIM
8	10	very	O-CLAIM
8	11	uncommon	O-CLAIM
8	12	.	O-CLAIM
9	0	The	O-CLAIM
9	1	chances	O-CLAIM
9	2	of	O-CLAIM
9	3	shark	O-CLAIM
9	4	attacks	O-CLAIM
9	5	are	O-CLAIM
9	6	uncommon	O-CLAIM
9	7	.	O-CLAIM
10	0	Mainly	O-CLAIM
10	1	because	O-CLAIM
10	2	a	O-CLAIM
10	3	shark	O-CLAIM
10	4	likes	O-CLAIM
10	5	to	O-CLAIM
10	6	live	O-CLAIM
10	7	in	O-CLAIM
10	8	a	O-CLAIM
10	9	deepwater	O-CLAIM
10	10	environment	O-CLAIM
10	11	.	O-CLAIM
11	0	Sharks	O-CLAIM
11	1	are	O-CLAIM
11	2	amazing	O-CLAIM
11	3	animals	O-CLAIM
11	4	they	O-CLAIM
11	5	are	O-CLAIM
11	6	one	O-CLAIM
