0	0	Can	O-CLAIM
0	1	Music	O-CLAIM
0	2	Change	O-CLAIM
0	3	Perspective	O-CLAIM
0	4	?	O-CLAIM
1	0	Music	B-CLAIM
1	1	is	I-CLAIM
1	2	powerful	I-CLAIM
1	3	and	O-CLAIM
1	4	can	O-CLAIM
1	5	do	B-CLAIM
1	6	a	I-CLAIM
1	7	lot	I-CLAIM
1	8	to	I-CLAIM
1	9	someone	I-CLAIM
1	10	mentally	I-CLAIM
1	11	and	I-CLAIM
1	12	physically	I-CLAIM
1	13	.	O-CLAIM
2	0	People	O-CLAIM
2	1	listen	O-CLAIM
2	2	to	O-CLAIM
2	3	music	O-CLAIM
2	4	because	O-CLAIM
2	5	it	O-CLAIM
2	6	makes	O-CLAIM
2	7	them	O-CLAIM
2	8	happy	O-CLAIM
2	9	.	O-CLAIM
3	0	There	O-CLAIM
3	1	are	O-CLAIM
3	2	so	O-CLAIM
3	3	many	O-CLAIM
3	4	different	O-CLAIM
3	5	types	O-CLAIM
3	6	of	O-CLAIM
3	7	music	O-CLAIM
3	8	,	O-CLAIM
3	9	all	O-CLAIM
3	10	of	O-CLAIM
3	11	them	O-CLAIM
3	12	are	O-CLAIM
3	13	different	O-CLAIM
3	14	in	O-CLAIM
3	15	their	O-CLAIM
3	16	own	O-CLAIM
3	17	ways	O-CLAIM
3	18	.	O-CLAIM
4	0	For	O-CLAIM
4	1	example	O-CLAIM
4	2	,	O-CLAIM
4	3	people	O-CLAIM
4	4	listen	O-CLAIM
4	5	to	O-CLAIM
4	6	instrumental	O-CLAIM
4	7	music	O-CLAIM
4	8	to	O-CLAIM
4	9	calm	O-CLAIM
4	10	down	O-CLAIM
4	11	,	O-CLAIM
4	12	others	O-CLAIM
4	13	listen	O-CLAIM
4	14	to	O-CLAIM
4	15	Rap	O-CLAIM
4	16	or	O-CLAIM
4	17	Pop	O-CLAIM
4	18	music	O-CLAIM
4	19	to	O-CLAIM
4	20	get	O-CLAIM
4	21	happy	O-CLAIM
4	22	or	O-CLAIM
4	23	dance	O-CLAIM
4	24	to	O-CLAIM
4	25	.	O-CLAIM
5	0	Some	O-CLAIM
5	1	artists	O-CLAIM
5	2	write	O-CLAIM
5	3	songs	O-CLAIM
5	4	and	O-CLAIM
5	5	talk	O-CLAIM
5	6	about	O-CLAIM
5	7	a	O-CLAIM
5	8	controversial	O-CLAIM
5	9	topic	O-CLAIM
5	10	and	O-CLAIM
5	11	persuade	O-CLAIM
5	12	people	O-CLAIM
5	13	to	O-CLAIM
5	14	see	O-CLAIM
5	15	it	O-CLAIM
5	16	as	O-CLAIM
5	17	they	O-CLAIM
5	18	do	O-CLAIM
5	19	,	O-CLAIM
5	20	should	O-CLAIM
5	21	artists	O-CLAIM
5	22	be	O-CLAIM
5	23	able	O-CLAIM
5	24	to	O-CLAIM
5	25	do	O-CLAIM
5	26	that	O-CLAIM
5	27	?	O-CLAIM
