sentence_id	token_id	token	label
0	0	Should	O-claim
0	1	University	O-claim
0	2	education	O-claim
0	3	be	O-claim
0	4	free	O-claim
0	5	for	O-claim
0	6	everyone	O-claim
0	7	interested	O-claim
0	8	?	O-claim
0	9	_NEW_LINE__NEW_LINE_	O-claim
1	0	A	O-claim
1	1	famous	O-claim
1	2	proverb	O-claim
2	0	“	O-claim
2	1	Knowledge	O-claim
2	2	is	O-claim
2	3	power	O-claim
2	4	”	O-claim
2	5	has	O-claim
2	6	demonstrated	O-claim
2	7	the	O-claim
2	8	value	O-claim
2	9	of	O-claim
2	10	education	O-claim
2	11	.	O-claim
3	0	I	O-claim
3	1	believe	O-claim
3	2	that	O-claim
3	3	universities	B-claim
3	4	should	I-claim
3	5	provide	I-claim
3	6	free	I-claim
3	7	of	I-claim
3	8	cost	I-claim
3	9	education	I-claim
3	10	to	I-claim
3	11	the	I-claim
3	12	interested	I-claim
3	13	scholars	I-claim
3	14	because	O-claim
3	15	now	B-claim
3	16	-	I-claim
3	17	a	I-claim
3	18	-	I-claim
3	19	days	I-claim
3	20	universities	I-claim
3	21	with	I-claim
3	22	good	I-claim
3	23	name	I-claim
3	24	charge	I-claim
3	25	high	I-claim
3	26	fees	I-claim
3	27	and	I-claim
3	28	this	I-claim
3	29	leads	I-claim
3	30	one	I-claim
3	31	to	I-claim
3	32	think	I-claim
3	33	about	I-claim
3	34	affordability	I-claim
3	35	.	O-claim
4	0	I	O-claim
4	1	have	O-claim
4	2	observed	O-claim
4	3	that	O-claim
4	4	many	O-claim
4	5	of	O-claim
4	6	the	O-claim
4	7	interested	O-claim
4	8	scholars	O-claim
4	9	failed	O-claim
4	10	to	O-claim
4	11	get	O-claim
4	12	the	O-claim
4	13	admission	O-claim
4	14	in	O-claim
4	15	good	O-claim
4	16	universities	O-claim
4	17	because	O-claim
4	18	they	O-claim
4	19	have	O-claim
4	20	to	O-claim
4	21	think	O-claim
4	22	about	O-claim
4	23	work	O-claim
4	24	along	O-claim
4	25	with	O-claim
4	26	the	O-claim
4	27	studies	O-claim
4	28	,	O-claim
4	29	and	O-claim
4	30	this	O-claim
4	31	left	O-claim
4	32	them	O-claim
4	33	with	O-claim
4	34	only	O-claim
4	35	one	O-claim
4	36	choice	O-claim
4	37	,	O-claim
4	38	which	O-claim
4	39	is	O-claim
4	40	work	O-claim
4	41	.	O-claim
4	42	_NEW_LINE_	O-claim
5	0	University	O-claim
5	1	is	O-claim
